var,layer,band,train_valid_frac,mean_ms,std_ms,min_ms,max_ms,p0.1_ms,p1_ms,p50_ms,p99_ms,p99.9_ms,inc_mean_ms,inc_std_ms,norm_clip_frac,norm_std,norm_p1_p99_width,val_pers_rmse_d1_ms,val_pers_rmse_d5_ms,val_pers_rmse_d10_ms,val_pers_rmse_d15_ms,val_pers_rmse_coastal_d1_ms,val_pers_rmse_coastal_d5_ms,val_pers_rmse_coastal_d10_ms,val_pers_rmse_coastal_d15_ms
u,0,bottom,1,-0.0195984,0.101807,-0.839533,1.14664,-0.383114,-0.284754,-0.00849339,0.216374,0.298721,-3.3937e-06,0.0485019,0,0.0221707,-0.109131,0.0496203,0.0916956,0.0921323,0.0942635,0.0224378,0.0363793,0.037233,0.0363921
u,1,bottom,1,-0.0218097,0.113149,-0.908426,1.27399,-0.427352,-0.317495,-0.0092905,0.240808,0.332197,-3.82541e-06,0.0538399,0,0.0246406,-0.121582,0.0550962,0.101852,0.102353,0.104719,0.0246666,0.0400155,0.0409438,0.0400014
u,2,bottom,1,-0.0237428,0.123141,-0.964089,1.37762,-0.465725,-0.346113,-0.00999866,0.262146,0.361121,-4.19982e-06,0.0585366,0,0.0268165,-0.132461,0.0599093,0.110801,0.111352,0.113932,0.0266138,0.043189,0.0441743,0.043149
u,3,bottom,1,-0.0251782,0.130659,-1.00194,1.45066,-0.494102,-0.367348,-0.0105074,0.277998,0.382211,-4.4777e-06,0.0620654,0,0.0284538,-0.140538,0.0635223,0.117539,0.118124,0.120869,0.0280821,0.0455773,0.0465998,0.0455156
u,4,bottom,1,-0.026409,0.137225,-1.03324,1.51147,-0.518476,-0.385606,-0.0109263,0.291817,0.400682,-4.71772e-06,0.0651423,0,0.0298837,-0.147523,0.0666724,0.123435,0.124046,0.126937,0.0293737,0.0476708,0.0487221,0.047588
u,5,bottom,1,-0.0275224,0.143397,-1.06027,1.56654,-0.540839,-0.402628,-0.0112755,0.304623,0.417765,-4.93522e-06,0.068032,0,0.0312277,-0.154019,0.0696318,0.129006,0.129639,0.132666,0.0306154,0.0496728,0.0507484,0.0495672
u,6,bottom,1,-0.0285294,0.14951,-1.08586,1.61904,-0.562293,-0.418926,-0.0115599,0.316937,0.434274,-5.13255e-06,0.0708963,0,0.032559,-0.16025,0.0725666,0.134581,0.135225,0.138386,0.0318878,0.051711,0.0528077,0.0515785
u,7,bottom,1,-0.0293783,0.155881,-1.10914,1.67065,-0.583618,-0.434866,-0.0118026,0.32954,0.450637,-5.30421e-06,0.0738949,0,0.0339463,-0.166466,0.0756406,0.140484,0.141117,0.144415,0.0332562,0.0538891,0.0550025,0.053722
u,8,bottom,1,-0.029966,0.162888,-1.13319,1.72237,-0.604258,-0.450716,-0.0119829,0.343663,0.46741,-5.45202e-06,0.0772349,0,0.0354722,-0.172993,0.0790804,0.147122,0.147704,0.151154,0.0347748,0.0562969,0.0574184,0.0560827
u,9,bottom,1,-0.0302242,0.170923,-1.15504,1.77446,-0.625094,-0.466856,-0.0120415,0.361519,0.487416,-5.61616e-06,0.0811604,0,0.037222,-0.180396,0.0831748,0.154942,0.155446,0.159084,0.0364764,0.0589944,0.0601092,0.0587172
u,10,middle,1,-0.0302793,0.180098,-1.19703,1.82693,-0.645901,-0.484222,-0.0120063,0.38274,0.51554,-5.84077e-06,0.0858225,0,0.0392202,-0.188799,0.0880902,0.164159,0.164602,0.168494,0.0383515,0.0619708,0.0630638,0.0616232
u,11,middle,1,-0.030485,0.189775,-1.2755,1.87916,-0.668256,-0.503536,-0.0118645,0.403957,0.55007,-6.09019e-06,0.0910074,0,0.0413274,-0.197626,0.0935384,0.174203,0.174722,0.178887,0.0403282,0.0650992,0.0661652,0.0646948
u,12,middle,1,-0.0311383,0.198368,-1.36455,1.93033,-0.690927,-0.522442,-0.0117436,0.421205,0.579615,-6.28241e-06,0.0959377,0,0.0431989,-0.205499,0.0986632,0.183623,0.184448,0.188807,0.0422829,0.068149,0.069192,0.0677055
u,13,middle,1,-0.0322725,0.204142,-1.44827,1.97924,-0.710476,-0.536662,-0.0116802,0.435299,0.599499,-6.37857e-06,0.0996953,0,0.0444562,-0.211665,0.102475,0.19093,0.192206,0.196607,0.0441038,0.0709174,0.0719604,0.0704546
u,14,middle,1,-0.0339297,0.206963,-1.52644,2.02595,-0.726443,-0.544827,-0.0119403,0.44489,0.609507,-6.39185e-06,0.102129,0,0.0450707,-0.215532,0.104814,0.19575,0.197572,0.201817,0.0457759,0.0734186,0.0745345,0.0730002
u,15,middle,1,-0.0363619,0.20887,-1.59273,2.06863,-0.741271,-0.552544,-0.0129733,0.446867,0.613427,-6.3844e-06,0.104063,0,0.0454859,-0.217643,0.106553,0.199487,0.201994,0.206012,0.0474137,0.0759269,0.0772494,0.0757005
u,16,middle,1,-0.0398197,0.212112,-1.64408,2.10625,-0.760408,-0.565938,-0.01498,0.447601,0.612134,-6.48236e-06,0.106441,0,0.0461919,-0.220719,0.108576,0.20385,0.207234,0.211073,0.0492105,0.0788018,0.080491,0.0789956
u,17,middle,1,-0.0443631,0.217454,-1.68885,2.13843,-0.785341,-0.58667,-0.0180905,0.453607,0.617874,-6.74815e-06,0.109551,0,0.0473552,-0.226542,0.111223,0.209357,0.213847,0.217663,0.0513594,0.0823485,0.0845419,0.0832136
u,18,middle,1,-0.049835,0.224402,-1.75645,2.16515,-0.817239,-0.610069,-0.0226698,0.466601,0.632381,-7.12846e-06,0.113215,0,0.0488682,-0.234468,0.114418,0.215594,0.221317,0.225341,0.0539351,0.0867612,0.0895672,0.0885251
u,19,middle,1,-0.0557585,0.232285,-1.86082,2.1867,-0.85384,-0.634387,-0.0285587,0.484853,0.654705,-7.53721e-06,0.117273,0,0.0505849,-0.243738,0.117992,0.222238,0.229066,0.23355,0.0568504,0.0920557,0.0955683,0.0949022
u,20,upper,1,-0.0613186,0.24093,-1.96717,2.2037,-0.889674,-0.656864,-0.0351003,0.510942,0.690331,-7.93549e-06,0.121631,0,0.0524675,-0.254314,0.121893,0.229456,0.237189,0.242386,0.0598997,0.0979603,0.102246,0.102009
